ticker,price,avg_daily_volume,price_volatility,avg_daily_volume_30d,price_momentum_1m,price_momentum_3m,price_momentum_6m
AAPL,270.010009765625,53615949.800796814,20.895073653359425,49629750.0,-0.6804883710801235,-0.41570704977657025,33.698225904929615
ABT,109.41000366210938,6914491.2350597605,32.900165216933715,10002463.333333334,-12.232242813682204,-11.795762790520016,-13.227112910314098
ADBE,293.3800048828125,4033382.868525896,27.382091578441464,4422480.0,-16.17474411586827,-13.518449083752959,-15.646919154738514
AMZN,242.9600067138672,45166440.239043824,24.96577729106225,39010920.0,5.259509143241692,9.019117853570545,13.136208015770512
AVGO,331.1099853515625,26191962.151394423,32.013297142671746,29432836.666666668,-4.33112409349965,-11.880486753011754,15.13023152613231
BAC,54.029998779296875,39981033.067729086,21.906986888716837,37561490.0,-1.763638583096594,2.415198905943017,19.607669441397558
COST,968.3599853515625,2399072.111553785,20.63677403082988,2759610.0,12.447857101952021,5.528783972693008,1.9458605724684164
CRM,210.80999755859375,8021454.581673306,35.652232926546425,8423600.0,-20.422032145120404,-17.728313980091837,-15.642518511833646
CSCO,80.63999938964844,20989872.111553784,20.023156947823235,20396920.0,5.246667317883569,11.193944198127515,21.53337714967205
CVX,174.02999877929688,9207368.924302788,26.533571552698792,11401353.333333334,14.18541735955776,14.625876423033212,17.524841756841948
DIS,104.44999694824219,9995197.609561753,29.63456078149706,10757583.333333334,-8.191966221168222,-5.975772800761947,-9.806419862724681
GOOGL,343.69000244140625,36724015.53784861,16.706459009181778,29106890.0,9.80511260108825,22.1808974833545,82.00306682806959
HD,378.1199951171875,3789825.099601594,22.607569505232526,4381966.666666667,9.886657486265094,0.26757742528609185,2.4259017689004736
JNJ,230.75,8826439.442231076,15.898432500573634,8805370.0,11.500364050602109,22.832626929175383,39.795351073024854
JPM,308.1400146484375,9494972.908366533,23.68722524874099,11143650.0,-3.9383158286503406,0.029066202188632317,7.486884738243527
LIN,460.1600036621094,2191241.434262948,11.418189463218042,2352260.0,7.919976512938631,7.4305628138849,0.8527979460399404
MA,555.3699951171875,2882343.027888446,23.779413796965756,3727940.0,-2.5707362566881553,0.45590102857322456,-0.52716595877913
META,706.4099731445312,15676579.6812749,41.17973909091541,17058823.333333332,7.017216501470425,6.079209968043764,-5.672823401782045
MSFT,423.3699951171875,23155561.752988048,35.58192913045785,30412686.666666668,-12.458128408317904,-19.32395591512406,-18.93692933547273
NFLX,82.76000213623047,41064494.82071713,18.411775443625107,45896266.666666664,-11.732081643958725,-24.003672197779125,-28.56896107349387
NKE,62.18000030517578,16945829.083665337,43.037289413804615,22195260.0,-2.401504946293065,-3.5793918777030864,-15.703326189024713
NVDA,185.61000061035156,209946275.69721115,27.901302630705644,160173326.66666666,-0.47721146898039857,-8.511838159535234,6.856323084061522
PFE,26.65999984741211,52096455.37848605,15.773969546797556,46395473.333333336,8.8617773026193,13.560674835929309,17.428224794172166
PG,153.19000244140625,8640487.250996016,18.28620689551126,11077316.666666666,7.653099466198476,3.1405627729865992,3.124130742135134
TMO,581.77001953125,2304277.290836653,24.616073124928867,2237946.6666666665,0.4003809259373714,4.672159078242988,25.84875643133828
TSLA,421.80999755859375,96602705.97609562,36.514792860995435,65059006.666666664,-6.206084582929716,-4.1558755490268995,39.381419804005006
UNH,285.5899963378906,12085127.888446216,62.75917561375224,9692223.333333334,-13.486410890073108,-16.603293266158836,21.682311333972116
V,333.8399963378906,6613493.625498008,23.372106965445266,7606976.666666667,-4.810240805286082,-3.051545726613858,-1.2553949840526712
WMT,124.05999755859375,21146806.772908367,20.641207479978295,36926976.666666664,11.354450660328496,21.601180715380952,26.513592157472953
XOM,138.39999389648438,16485546.613545816,24.496215179456936,18869436.666666668,15.007477237979039,21.728586398452208,28.520290707914377
